V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,default,implementation,commitment,loss_aversion,social_norms,counter1,counter2,default_trial,implementation_trial,commitment_trial,loss_aversion_trial,social_norms_trial,Q3,Q56,Q11,Q12,Q13,Q14,Q15,Q17,p1_1,p1_2,p1_3,p1_4,p1_5,p1_6,p1_time_1,p1_time_2,p1_time_3,p1_time_4,Q206,Q207,Q208,Q209,Q210,Q211,p2_1,p2_2,p2_3,p2_4,p2_5,p2_6,p2_time_1,p2_time_2,p2_time_3,p2_time_4,Q227,Q228,Q229,Q230,Q231,Q232,p3_1,p3_2,p3_3,p3_4,p3_5,p3_6,p3_time_1,p3_time_2,p3_time_3,p3_time_4,Q213,Q214,Q215,Q216,Q217,Q218,p4_1,p4_2,p4_3,p4_4,p4_5,p4_6,p4_time_1,p4_time_2,p4_time_3,p4_time_4,Q220,Q221,Q222,Q223,Q224,Q225,p5_1,p5_2,p5_3,p5_4,p5_5,p5_6,p5_time_1,p5_time_2,p5_time_3,p5_time_4,Q70,polparty,posoc,dk1_1,dk1_2,poecon,dk2_1,dk2_2,attitude1,attitude2,attitude3,attitude4,libert_1,libert_2,libert_3,libert_4,libert_5,libert_6,gender,age_1,comments,LocationLatitude,LocationLongitude,LocationAccuracy,
R_5oJxeAUDcCdyMoB,Default Response Set,Anonymous,,,184.97.185.222,0,2014-05-17 09:57:09,2014-05-17 10:02:10,1,safe sex,tax breaks,food stamps,control,intelligent design,6,6,3,2,4,1,5,1,1,1,,,,1,,1,5,1,5,5,5,12.903,25.326,26.024,6,1,,,1,,,2,4,5,3,1,4,25.56,47.975,48.929,7,1,,1,,,,3,3,4,3,2,3,9.495,40.807,42.848,8,1,1,,,,,4,1,3,4,3,4,39.943,55.526999999999994,56.368,6,1,,,,,1,1,5,3,5,3,5,32.062,43.181999999999995,44.087,6,1,3,4,,,5,,,4,4,7,1,5,4,5,6,1,2,1,24,,44.944396972656,-93.093299865723,-1,
R_0ikwGY8cS3bOvTD,Default Response Set,Anonymous,,,99.34.122.97,0,2014-05-17 09:57:57,2014-05-17 10:02:36,1,safe sex,intelligent design,control,tax breaks,food stamps,6,6,5,1,3,2,4,1,1,1,,,,1,,5,1,4,1,1,2,12.094,28.485000000000003,29.296,11,1,,,,,1,4,2,4,4,2,2,62.268,75.789,76.6,7,1,1,,,,,3,3,3,3,3,3,13.46,17.664,18.769,6,1,,,1,,,2,1,5,2,2,2,15.893,23.12,24.771,8,1,,1,,,,4,2,5,1,1,1,11.421,18.102,19.053,8,1,3,4,,,5,,,4,2,7,5,6,1,5,4,1,1,1,21,,39.825103759766,-82.795799255371,-1,
R_1Hvwg0gmPDRTEtn,Default Response Set,Anonymous,,,162.205.4.79,0,2014-05-17 09:57:47,2014-05-17 10:04:07,1,intelligent design,safe sex,tax breaks,control,food stamps,6,6,1,3,5,2,4,1,1,1,,,,,1,3,3,4,2,2,2,1.816,159.25,161.085,9,1,,,,1,,3,3,3,3,2,3,1.471,9.102,12.922,15,1,,,1,,,2,4,2,2,3,3,2.534,18.570000000000004,19.516,9,1,1,,,,,3,3,3,4,3,3,2.088,81.89999999999999,83.828,12,1,,1,,,,2,4,3,3,3,3,1.519,14.996,16.681,8,1,2,4,,,4,,,4,3,6,5,4,4,4,4,4,4,1,26,no,37.748397827148,-122.4156036377,-1,
R_5uUA6Wczj9xLZv7,Default Response Set,Anonymous,,,76.125.201.124,0,2014-05-17 09:55:59,2014-05-17 10:04:34,1,food stamps,control,tax breaks,safe sex,intelligent design,6,6,5,3,1,4,2,1,1,1,,1,,,,3,3,4,2,2,2,47.871,58.518,60.188,6,1,1,,,,,3,3,3,2,3,4,36.855,53.796,55.15,6,1,,,1,,,3,3,1,5,5,5,55.927,76.50200000000001,78.222,6,1,,,,1,,3,3,4,4,2,4,52.868,68.174,69.748,6,1,,,,,1,3,3,2,4,4,5,60.535,77.24499999999999,78.843,6,1,1,6,,,6,,,5,1,7,4,5,5,5,7,2,4,2,52,"no comment, thank you!",40.058197021484,-80.636199951172,-1,
R_8qQ74FuFDyyw0Bv,Default Response Set,Anonymous,,,216.235.32.143,0,2014-05-17 09:59:37,2014-05-17 10:04:36,1,food stamps,control,intelligent design,safe sex,tax breaks,6,6,2,1,4,3,5,1,1,1,,1,,,,4,2,4,4,2,4,31.152,42.067,44.143,6,1,1,,,,,4,2,4,3,2,2,29.434,38.091,39.284,6,1,,,,,1,4,2,4,2,2,2,21.829,33.951,36.098,6,1,,,,1,,4,2,4,3,2,3,26.04,32.074,33.493,6,1,,,1,,,3,3,3,3,3,3,19.526,29.663,30.831,6,1,3,2,,,6,,,3,2,7,1,6,6,6,6,3,5,1,33,n/a,21.470092773438,-157.96369934082,-1,
R_beIaXhdkISGl2ZL,Default Response Set,Anonymous,,,75.111.248.177,0,2014-05-17 09:58:38,2014-05-17 10:04:48,1,tax breaks,control,food stamps,intelligent design,safe sex,6,6,1,2,5,3,4,1,1,1,,,1,,,3,3,3,4,3,1,49.685,74.44100000000002,75.286,9,1,1,,,,,4,1,3,2,1,1,32.426,42.928000000000004,43.827,7,1,,1,,,,2,1,3,3,1,1,30.228,37.446000000000005,38.162,6,1,,,,,1,3,3,3,2,1,1,44.294,59.70300000000001,60.514,6,1,,,,1,,3,1,3,3,1,1,23.704,39.018,40.686,7,1,3,4,,,,1,1,4,1,4,4,6,5,4,6,1,2,1,23,,33.472106933594,-101.93979644775,-1,
R_24f36zpCH69sfyd,Default Response Set,Anonymous,,,76.116.50.163,0,2014-05-17 10:01:17,2014-05-17 10:05:04,1,control,tax breaks,food stamps,safe sex,intelligent design,6,6,3,2,4,5,1,1,1,1,1,,,,,2,4,2,4,4,4,12.591,21.355999999999998,23.545,8,1,,,1,,,4,2,4,2,1,3,18.88,27.448,28.259,7,1,,1,,,,4,2,4,2,2,3,15.079,20.554,21.927,6,1,,,,1,,3,2,3,4,3,3,9.452,21.214000000000002,22.619,7,1,,,,,1,2,3,2,4,4,3,29.87,37.94499999999999,39.231,8,1,1,5,,,5,,,5,6,6,4,6,3,5,6,3,2,1,19,None,40.184295654297,-75.216796875,-1,
R_2hq5RU1kLaOouk5,Default Response Set,Anonymous,,,98.240.73.191,0,2014-05-17 09:58:06,2014-05-17 10:05:04,1,food stamps,control,tax breaks,safe sex,intelligent design,6,6,2,5,3,4,1,1,1,1,,1,,,,4,2,4,5,2,3,31.821,42.095,43.161,6,1,1,,,,,5,1,5,2,1,3,39.955,45.592999999999996,46.892,6,1,,,1,,,3,3,3,4,2,4,34.015,43.07,44.17,7,1,,,,1,,4,2,4,2,2,3,23.682,33.506,34.446,6,1,,,,,1,3,3,1,5,5,5,59.757,69.326,70.398,7,1,3,1,,,1,,,7,1,7,1,3,5,3,3,4,4,1,25,,35.889602661133,-86.316596984863,-1,
R_8ICqvJhwAQ5Gar3,Default Response Set,Anonymous,,,130.101.121.188,0,2014-05-17 10:00:21,2014-05-17 10:05:44,1,tax breaks,control,food stamps,intelligent design,safe sex,6,6,1,3,5,2,4,1,1,1,,,1,,,4,2,4,3,2,2,45.946,56.57199999999999,57.333,7,1,1,,,,,4,2,4,2,2,3,66.764,73.219,73.821,6,1,,1,,,,2,4,3,4,4,5,15.55,23.462,23.878,7,1,,,,,1,2,4,2,5,4,4,35.834,41.93800000000001,42.339,7,1,,,,1,,4,2,3,2,2,3,13.781,21.352000000000004,22.51,6,1,2,2,,,4,,,6,1,7,1,5,5,4,3,5,5,1,25,None,41.076400756836,-81.510299682617,-1,
R_a9RlSdGlnxHedj7,Default Response Set,Anonymous,,,108.239.30.39,0,2014-05-17 09:54:43,2014-05-17 10:06:10,1,food stamps,tax breaks,intelligent design,safe sex,control,6,6,2,3,5,4,1,1,1,1,,1,,,,3,3,3,2,3,3,49.673,89.206,92.123,7,1,,,1,,,3,3,4,2,2,2,67.815,79.905,82.3,6,1,,,,,1,2,4,3,4,3,4,62.083,157.334,159.39,6,1,,,,1,,3,3,4,4,2,4,51.484,70.66799999999999,72.987,6,1,1,,,,,3,3,1,5,5,5,57.983,83.271,84.414,8,1,2,,,1,5,,,7,4,4,4,4,4,4,5,4,4,1,23,,32.868804931641,-80.040000915527,-1,
R_3L62lgQAKJsjQ1v,Default Response Set,Anonymous,,,74.101.122.48,0,2014-05-17 10:00:40,2014-05-17 10:06:14,1,food stamps,safe sex,intelligent design,control,tax breaks,6,6,2,5,1,3,4,1,1,1,,1,,,,5,1,4,4,1,4,36.975,47.86200000000001,49.314,6,1,,,,1,,5,1,5,1,1,1,11.358,26.301000000000002,27.827,6,1,,,,,1,4,1,4,1,1,2,43.043,56.028000000000006,61.523,6,1,1,,,,,2,4,1,4,4,5,36.731,46.507000000000005,50.284,6,1,,,1,,,1,5,1,5,5,5,13.179,34.446,37.617,7,1,2,1,,,1,,,6,1,7,6,3,6,3,3,2,2,2,26,,40.665893554688,-73.639503479004,-1,
R_0BPwOYBEXA0YPNH,Default Response Set,Anonymous,,,173.58.190.56,0,2014-05-17 09:50:37,2014-05-17 10:06:34,1,safe sex,control,food stamps,tax breaks,intelligent design,6,6,4,1,5,3,2,1,1,1,,,,1,,4,1,4,1,1,2,7.981,13.894,14.621,6,1,1,,,,,4,2,4,2,2,3,26.314,33.31399999999999,33.815,7,1,,1,,,,5,1,5,1,1,4,16.952,22.355000000000004,22.65,8,1,,,1,,,5,1,5,1,1,3,27.212,33.252,33.878,6,1,,,,,1,4,2,4,2,2,4,18.949,24.101,24.739,6,1,1,5,,,5,,,1,6,7,1,6,5,6,6,4,2,1,25,,34.145401000977,-117.85139465332,-1,
R_51F30F6dWb1XBnT,Default Response Set,Anonymous,,,173.174.217.18,0,2014-05-17 10:02:39,2014-05-17 10:06:36,1,food stamps,safe sex,control,tax breaks,intelligent design,6,6,5,2,4,3,1,1,1,1,,1,,,,1,5,2,2,4,3,10.253,18.174,18.851,6,1,,,,1,,4,2,4,2,2,3,42.364,48.925,49.719,6,1,1,,,,,2,4,2,4,4,4,5.434,10.264000000000001,11.655,7,1,,,1,,,5,2,5,2,2,2,17.424,31.505,32.954,7,1,,,,,1,2,4,2,4,4,3,39.183,47.803,48.744,8,1,3,1,,,7,,,2,6,7,1,7,2,7,7,1,1,1,24,,29.503997802734,-98.668197631836,-1,
R_eD4vNcid40S259z,Default Response Set,Anonymous,,,97.95.48.41,0,2014-05-17 10:01:01,2014-05-17 10:06:41,1,food stamps,control,tax breaks,safe sex,intelligent design,6,6,5,4,3,1,2,1,1,1,,1,,,,3,3,4,4,2,4,36.102,44.992999999999995,46.939,6,1,1,,,,,5,1,5,2,1,2,23.681,31.36,33.115,6,1,,,1,,,4,3,4,3,2,3,31.483,41.541000000000004,43.857,6,1,,,,1,,4,2,4,5,2,4,57.731,65.78300000000002,67.553,6,1,,,,,1,4,1,5,4,1,3,43.456,53.93200000000001,55.846,6,1,1,6,,,7,,,5,3,4,4,7,5,6,6,2,3,1,61,,43.755996704102,-88.366600036621,-1,
R_eVPC5Bfy5NW6U7j,Default Response Set,Anonymous,,,173.10.11.195,0,2014-05-17 10:01:17,2014-05-17 10:06:54,1,control,food stamps,tax breaks,intelligent design,safe sex,6,6,2,3,4,1,5,1,1,1,1,,,,,3,3,3,4,3,2,0.857,24.309,27.307,12,1,,1,,,,3,3,3,3,3,3,10.374,33.713,34.29,11,1,,,1,,,3,3,3,3,3,3,28.246,30.661,43.419,6,1,,,,,1,3,3,3,4,3,4,70.502,91.91700000000002,95.09,10,1,,,,1,,3,3,3,3,3,3,4.767,24.197000000000003,24.852,7,1,3,3,,,5,,,2,4,7,1,6,1,7,7,1,1,1,22,,33.20979309082,-87.569198608398,-1,
R_enAqCmxUNTQDavz,Default Response Set,Anonymous,,,70.194.193.235,0,2014-05-17 09:59:23,2014-05-17 10:06:54,1,control,food stamps,tax breaks,safe sex,intelligent design,6,6,2,1,4,3,5,1,1,1,1,,,,,5,1,5,1,1,1,30.491,37.204,37.863,6,1,,1,,,,5,1,5,1,1,1,46.959,59.269000000000005,62.423,6,1,,,1,,,3,3,2,3,4,3,28.247,44.004000000000005,45.324,7,1,,,,1,,5,1,5,1,1,1,27.148,37.824,42.694,6,1,,,,,1,1,5,1,5,5,5,31.536,38.690000000000005,40.171,6,1,2,2,,,2,,,7,1,7,1,3,3,5,5,2,2,1,28,,41.238800048828,-81.831497192383,-1,
R_8k5GTYg0c5oekmx,Default Response Set,Anonymous,,,72.22.115.12,0,2014-05-17 09:57:03,2014-05-17 10:07:31,1,food stamps,intelligent design,control,safe sex,tax breaks,6,6,5,1,3,2,4,1,1,1,,1,,,,2,5,2,5,4,4,52.834,71.12100000000001,71.916,7,1,,,,,1,2,4,2,5,4,5,70.639,125.35999999999999,128.163,9,1,1,,,,,4,2,4,2,2,4,25.734,44.013000000000005,47.257,6,1,,,,1,,4,2,4,4,2,1,57.015,76.64099999999999,78.372,7,1,,,1,,,4,2,4,2,2,2,60.424,73.91699999999999,74.751,6,1,3,4,,,6,,,3,4,6,4,7,3,2,7,1,1,2,51,none,36.784698486328,-86.211898803711,-1,
R_08mTz43Z2jATcbP,Default Response Set,Anonymous,,,65.60.181.46,0,2014-05-17 09:59:06,2014-05-17 10:07:34,1,intelligent design,tax breaks,control,food stamps,safe sex,6,6,1,5,4,2,3,1,1,1,,,,,1,2,4,2,5,4,5,50.417,73.38400000000001,74.367,6,1,,,1,,,4,2,4,4,2,3,40.12,49.967999999999996,50.725,6,1,1,,,,,3,2,4,3,2,3,36.108,44.628,45.417,6,1,,1,,,,3,2,3,4,3,4,57.148,69.26000000000002,70.089,6,1,,,,1,,2,3,4,5,2,4,46.122,61.114999999999995,62.055,6,1,3,6,,,6,,,5,2,3,7,6,3,5,5,3,4,2,55,"If they are going to teach evolution , then they need to teach intelligent design. Also I'm not against teaching about safe sex, but they need to teach abstinance also to high schoolers.",39.892807006836,-82.958801269531,-1,
R_0kZPWrIzr5aGiRD,Default Response Set,Anonymous,,,65.60.181.46,0,2014-05-17 10:03:03,2014-05-17 10:07:56,1,control,tax breaks,food stamps,intelligent design,safe sex,6,6,2,1,3,5,4,1,1,1,1,,,,,3,3,2,4,2,4,21.834,31.459000000000003,32.193,6,1,,,1,,,4,2,4,1,1,3,57.988,64.944,65.541,6,1,,1,,,,2,4,3,3,3,3,19.357,31.570000000000004,32.472,6,1,,,,,1,4,1,4,1,2,2,27.796,34.916000000000004,35.753,6,1,,,,1,,2,4,2,4,4,4,26.401,37.356,38.059,6,1,3,6,,,6,,,5,2,4,6,3,5,4,5,3,2,2,24,,39.892807006836,-82.958801269531,-1,
R_bswWK4PcYjmiezj,Default Response Set,Anonymous,,,190.112.49.157,0,2014-05-17 10:02:28,2014-05-17 10:08:26,1,food stamps,control,intelligent design,tax breaks,safe sex,6,6,5,3,1,2,4,1,1,1,,1,,,,3,3,2,4,4,4,21.84,37.704,39.903,7,1,1,,,,,3,3,2,4,2,4,16.736,27.985000000000003,29.051,7,1,,,,,1,3,3,2,4,4,4,28.539,49.415,56.589,8,1,,,1,,,3,3,2,4,2,4,25.593,37.95199999999999,39.369,7,1,,,,1,,2,4,2,5,4,4,26.047,45.475,51.519,8,1,3,1,,,2,,,5,1,7,4,2,4,5,4,4,6,1,21,,-30.598297119141,-71.200302124023,-1,
R_0qazAwe8FvRjaAZ,Default Response Set,Anonymous,,,174.45.176.55,0,2014-05-17 10:03:44,2014-05-17 10:09:11,1,control,food stamps,tax breaks,safe sex,intelligent design,6,6,4,5,2,1,3,1,1,1,1,,,,,4,2,3,2,3,3,20.875,34.795,35.125,8,1,,1,,,,5,1,3,2,3,2,21.319,42.332,42.99,10,1,,,1,,,2,4,3,5,3,4,34.786,45.331,45.981,6,1,,,,1,,3,3,2,5,4,5,57.029,69.19600000000001,69.735,6,1,,,,,1,3,3,3,4,3,4,38.125,48.108,49.114,6,1,3,3,,,5,,,7,2,7,4,5,5,3,5,1,1,2,27,,41.103393554688,-104.90589904785,-1,
R_02gZwgwONhPZF8V,Default Response Set,Anonymous,,,107.192.218.59,0,2014-05-17 09:57:01,2014-05-17 10:09:23,1,control,food stamps,tax breaks,safe sex,intelligent design,6,6,1,3,4,5,2,1,1,1,1,,,,,1,1,1,5,5,4,81.701,104.09400000000001,105.724,6,1,,1,,,,4,1,4,1,1,1,78.752,104.816,107.993,6,1,,,1,,,4,1,4,1,1,3,44.699,64.272,65.91,6,1,,,,1,,5,1,5,1,1,1,81.042,105.962,107.827,8,1,,,,,1,4,1,4,3,3,3,111.249,133.29799999999997,134.876,7,1,2,2,,,3,,,6,6,7,7,5,4,6,7,1,4,1,58,,30.499801635742,-97.808197021484,-1,
R_9t8Y1FcxUdGoDo9,Default Response Set,Anonymous,,,172.7.201.137,0,2014-05-17 09:59:25,2014-05-17 10:09:34,1,safe sex,food stamps,control,tax breaks,intelligent design,6,6,3,2,5,1,4,1,1,1,,,,1,,2,4,2,5,4,5,236.739,243.61800000000002,244.229,6,1,,1,,,,1,5,5,1,1,2,49.235,56.174,57.721,6,1,1,,,,,5,1,5,4,1,4,16.623,25.490000000000002,27.523,6,1,,,1,,,5,1,4,4,2,4,64.675,74.31599999999999,75.386,6,1,,,,,1,2,4,3,5,3,5,13.614,22.078000000000003,22.933,6,1,2,1,,,3,,,7,1,7,7,5,2,6,7,3,3,1,34,No.,33.963806152344,-118.27339935303,-1,
R_1NdEFiCuJXFuPZz,Default Response Set,Anonymous,,,108.17.7.16,0,2014-05-17 10:04:37,2014-05-17 10:10:41,1,food stamps,control,tax breaks,safe sex,intelligent design,6,6,2,3,1,4,5,1,1,1,,1,,,,4,2,3,4,2,3,54.313,63.36000000000001,63.999,7,1,1,,,,,4,1,4,2,1,2,17.685,52.21199999999999,52.827,8,1,,,1,,,4,2,4,4,2,4,57.379,65.02499999999999,67.824,7,1,,,,1,,4,1,4,1,1,1,11.492,36.931999999999995,37.747,7,1,,,,,1,4,2,3,3,2,3,10.078,43.522999999999996,44.154,10,1,2,1,,,1,,,7,1,6,1,1,5,1,1,5,3,1,26,,42.974197387695,-78.848098754883,-1,
R_b2wTOeFKr104KwZ,Default Response Set,Anonymous,,,72.192.177.178,0,2014-05-17 10:03:13,2014-05-17 10:10:55,1,intelligent design,safe sex,food stamps,control,tax breaks,6,6,4,3,1,2,5,1,1,1,,,,,1,5,1,5,1,1,1,2.756,12.339000000000002,13.799,7,1,,,,1,,5,1,5,1,1,1,17.702,22.39,23.354,6,1,,1,,,,3,1,3,2,1,4,157.873,166.168,167.108,6,1,1,,,,,5,1,5,1,1,2,91.907,99.73899999999999,100.647,7,1,,,1,,,5,1,5,1,1,1,4.588,10.572,12.399,7,1,2,1,,,1,,,7,7,7,1,1,6,1,1,7,7,1,27,This was a great survey. Thanks for everything.,32.812698364258,-117.03329467773,-1,
R_5vtU3hl10WJilP7,Default Response Set,Anonymous,,,162.254.44.44,0,2014-05-17 10:05:18,2014-05-17 10:11:56,1,control,safe sex,intelligent design,food stamps,tax breaks,6,6,5,4,2,3,1,1,1,1,1,,,,,1,5,2,5,5,5,32.408,45.081,45.991,6,1,,,,1,,2,4,3,4,3,4,30.166,38.093,39.076,6,1,,,,,1,4,2,4,4,2,4,43.133,58.589,59.363,6,1,,1,,,,4,2,3,4,3,4,39.85,46.137,46.974,6,1,,,1,,,2,4,3,5,3,4,72.394,86.202,87.516,6,1,3,4,,,5,,,5,5,3,6,7,7,6,7,1,1,2,46,,34.31770324707,-80.577102661133,-1,
R_cA9DfY3TvTvRj9j,Default Response Set,Anonymous,,,68.7.230.23,0,2014-05-17 10:07:05,2014-05-17 10:12:36,1,intelligent design,safe sex,tax breaks,food stamps,control,6,6,5,2,1,4,3,1,1,1,,,,,1,5,1,4,1,1,1,36.806,42.946,43.868,6,1,,,,1,,4,2,2,3,2,4,38.762,48.839,49.601,9,1,,,1,,,2,4,2,4,4,4,52.027,68.66900000000001,69.87,9,1,,1,,,,4,1,4,2,2,2,29.539,38.757000000000005,39.94,8,1,1,,,,,2,4,2,4,4,4,33.959,41.41700000000001,43.338,7,1,2,3,,,3,,,6,2,6,6,5,3,6,6,2,2,1,25,,32.569396972656,-117.01580047607,-1,
R_9pPhK2owKa9JEG1,Default Response Set,Anonymous,,,75.161.237.151,0,2014-05-17 10:09:34,2014-05-17 10:12:42,1,safe sex,food stamps,control,tax breaks,intelligent design,6,6,5,3,4,1,2,1,1,1,,,,1,,4,3,2,4,4,5,5.123,10.986,13.744,6,1,,1,,,,5,1,5,3,4,3,11.156,16.121000000000002,17.533,7,1,1,,,,,5,2,4,4,2,5,4.647,9.772,11.417,7,1,,,1,,,2,2,3,4,2,3,24.557,29.985,30.845,6,1,,,,,1,1,5,1,4,4,4,6.81,12.184999999999999,14.777,7,1,3,4,,,4,,,6,2,7,4,1,7,3,2,4,6,2,21,,44.979995727539,-93.263801574707,-1,
R_9NbLBOWwApL0y7H,Default Response Set,Anonymous,,,174.45.65.38,0,2014-05-17 10:06:52,2014-05-17 10:14:00,1,tax breaks,food stamps,control,intelligent design,safe sex,6,6,1,5,3,4,2,1,1,1,,,1,,,2,3,2,5,3,4,42.341,68.99699999999999,75.844,13,1,,1,,,,5,2,5,1,1,3,15.847,38.162,39.609,8,1,1,,,,,5,2,4,3,2,4,10.132,37.555,38.743,8,1,,,,,1,2,2,4,3,2,3,6.03,101.50400000000002,102.795,27,1,,,,1,,4,2,4,5,2,4,28.085,42.283,43.142,8,1,3,4,,,2,,,7,1,7,4,2,4,4,5,5,2,1,23,,45.772003173828,-110.93489837646,-1,
R_4GFqTvlHAtUi913,Default Response Set,Anonymous,,,76.89.232.156,0,2014-05-17 10:03:27,2014-05-17 10:14:58,1,control,intelligent design,safe sex,tax breaks,food stamps,6,6,5,4,2,1,3,1,1,1,1,,,,,2,4,1,5,1,5,13.514,215.69,217.131,10,1,,,,,1,5,1,5,3,1,1,8.022,66.542,67.623,9,1,,,,1,,3,3,4,4,2,4,6.489,54.609,55.978,9,1,,,1,,,3,3,4,4,2,2,3.917,136.173,136.958,15,1,,1,,,,2,4,2,5,4,5,11.713,74.73700000000001,76.914,18,1,2,2,1,,2,1,,7,1,7,1,5,3,5,5,1,1,1,33,,33.665298461914,-117.97180175781,-1,
R_6WZXvpgQEJciw0B,Default Response Set,Anonymous,,,76.177.86.233,0,2014-05-17 10:05:13,2014-05-17 10:15:00,1,food stamps,tax breaks,control,intelligent design,safe sex,6,6,2,5,4,3,1,1,1,1,,1,,,,3,2,3,4,2,4,46.054,64.111,65.299,9,1,,,1,,,4,2,3,3,2,3,124.833,134.91299999999998,135.914,7,1,1,,,,,3,2,4,4,2,4,34.62,49.285999999999994,49.94,7,1,,,,,1,3,2,3,4,3,4,93.916,114.03800000000001,114.791,6,1,,,,1,,3,4,2,5,4,5,76.155,92.805,93.795,6,1,3,1,,,2,,,6,2,7,1,2,5,5,4,1,4,2,19,,38.207504272461,-83.398902893066,-1,
R_0cGk4c62QQMnIvX,Default Response Set,Anonymous,,,66.232.254.146,0,2014-05-17 10:11:05,2014-05-17 10:15:46,1,safe sex,intelligent design,tax breaks,food stamps,control,6,6,2,4,3,5,1,1,1,1,,,,1,,4,3,3,3,3,3,0.375,22.373,23.901,7,1,,,,,1,3,3,3,3,3,3,27.393,31.390000000000004,34.03,6,1,,,1,,,3,3,3,3,3,3,7.23,12.674999999999999,14.187,6,1,,1,,,,4,3,4,4,4,4,4.57,8.822,10.136,6,1,1,,,,,3,3,3,3,3,3,50.542,59.001999999999995,60.937,6,1,1,2,,,3,,,5,5,7,6,4,4,4,4,3,4,2,43,,41.35319519043,-72.038597106934,-1,
R_9Mpg6L7cWYA2Fmd,Default Response Set,Anonymous,,,108.51.54.249,0,2014-05-17 10:08:24,2014-05-17 10:15:50,1,tax breaks,control,food stamps,safe sex,intelligent design,6,6,5,4,1,2,3,1,1,1,,,1,,,4,2,4,4,2,3,20.766,43.85,44.547,7,1,1,,,,,5,1,5,2,1,2,54.284,69.79499999999999,70.596,7,1,,1,,,,1,5,2,4,4,4,3.618,122.118,122.871,8,1,,,,1,,4,2,4,3,2,3,2.185,35.263999999999996,35.906,9,1,,,,,1,4,2,4,3,2,3,6.709,23.197,24.046,7,1,1,2,,,7,,,2,6,5,5,4,3,6,6,4,2,1,22,,38.879104614258,-77.376602172852,-1,
R_80W9TaQh8rFAGkB,Default Response Set,Anonymous,,,64.89.86.98,0,2014-05-17 09:39:48,2014-05-17 10:16:05,1,tax breaks,intelligent design,safe sex,food stamps,control,6,6,3,5,1,2,4,1,1,1,,,1,,,3,4,2,5,4,5,1145.128,1173.059,1173.553,8,1,,,,,1,1,4,2,3,4,5,196.396,239.48799999999994,240.241,7,1,,,,1,,2,3,2,5,4,5,83.796,166.20299999999997,166.687,7,1,,1,,,,3,2,3,4,2,3,75.451,116.63499999999998,117.39,8,1,1,,,,,3,3,2,5,4,3,52.333,119.72999999999999,120.413,9,1,3,3,,,6,,,6,2,7,1,3,4,3,1,1,2,1,23,,26.145202636719,-80.172897338867,-1,
R_ai47MEMBNSRMOLX,Default Response Set,Anonymous,,,67.101.51.66,0,2014-05-17 10:08:43,2014-05-17 10:16:38,1,food stamps,tax breaks,control,intelligent design,safe sex,6,6,4,5,3,2,1,1,1,1,,1,,,,3,4,3,1,2,1,2.403,55.801,59.038,11,1,,,1,,,4,3,4,5,2,3,2.082,50.104000000000006,50.836,9,1,1,,,,,4,3,3,4,3,4,4.188,70.235,70.791,9,1,,,,,1,3,4,2,5,4,5,9.978,54.561,55.101,14,1,,,,1,,4,3,4,5,2,4,4.931,137.392,139.517,12,1,2,3,,,3,,,7,1,7,4,3,3,5,5,1,2,1,30,,33.983093261719,-118.09669494629,-1,
R_9B0IVDQ4OccjZtj,Default Response Set,Anonymous,,,172.249.100.85,0,2014-05-17 10:12:17,2014-05-17 10:16:50,1,food stamps,tax breaks,control,safe sex,intelligent design,6,6,4,5,1,2,3,1,1,1,,1,,,,3,3,3,4,3,2,23.182,32.660999999999994,33.895,9,1,,,1,,,1,4,4,4,2,2,20.506,32.212999999999994,33.071,7,1,1,,,,,3,3,3,4,2,3,34.001,43.962,44.843,6,1,,,,1,,3,3,2,4,3,2,22.939,37.52600000000001,38.423,9,1,,,,,1,3,3,3,3,3,1,15.124,22.178,23.118,7,1,2,2,,,2,,,7,2,7,1,3,5,3,6,2,2,2,28,,33.900894165039,-118.00730133057,-1,
R_eX1glMnjzojBbfv,Default Response Set,Anonymous,,,201.206.115.46,0,2014-05-17 10:08:47,2014-05-17 10:16:54,1,control,food stamps,intelligent design,tax breaks,safe sex,6,6,1,3,5,2,4,1,1,1,1,,,,,1,5,2,5,4,4,47.805,63.851000000000006,66.41,7,1,,1,,,,3,1,4,2,1,3,32.936,56.94199999999999,57.772,12,1,,,,,1,3,1,3,3,1,3,24.507,38.81900000000001,44.621,10,1,,,1,,,1,2,4,2,1,2,3.031,78.79999999999998,79.867,11,1,,,,1,,3,1,3,3,1,3,46.771,69.56199999999998,71.809,11,1,3,5,,,7,,,3,3,6,5,7,1,7,7,2,1,1,33,My views of government intrusion into daily affairs of citizens fluctuates over time.,9.8533020019531,-83.902297973633,-1,
R_6DyqGWyBRO2nPal,Default Response Set,Anonymous,,,68.200.50.116,0,2014-05-17 10:08:57,2014-05-17 10:17:21,1,control,tax breaks,food stamps,intelligent design,safe sex,6,6,1,5,4,3,2,1,1,1,1,,,,,2,4,2,5,5,5,44.696,59.95399999999999,62.341,7,1,,,1,,,4,3,4,4,2,4,82.746,92.68299999999998,95.637,6,1,,1,,,,3,3,3,4,3,4,48.062,55.485,57.164,6,1,,,,,1,2,4,2,5,4,5,43.701,59.394,61.887,6,1,,,,1,,2,4,3,5,3,5,34.364,48.79399999999999,50.06,7,1,3,4,,,4,,,5,1,5,2,7,1,7,7,1,1,1,52,no,28.009796142578,-81.933700561523,-1,
